sid,family,instance_type,naive_mae,naive_mase
c5.large@ap-southeast-2a,compute,c5.large,0.0005314285714285715,0.2999690892067574
c5.large@ap-southeast-2b,compute,c5.large,0.0008905059523809526,0.4202944884827427
c5.large@ap-southeast-2c,compute,c5.large,0.0007425297619047617,0.37942677241227146
c5.large@eu-west-1a,compute,c5.large,0.0005093154761904762,0.30697887676310004
c5.large@eu-west-1b,compute,c5.large,0.0006061309523809524,0.35523117410827665
c5.large@us-east-1a,compute,c5.large,0.00042601190476190473,0.24170354903798136
c5.large@us-east-1b,compute,c5.large,0.00043922619047619046,0.31871994858324615
c5.large@us-east-1c,compute,c5.large,0.0005857142857142857,0.4276639465385296
c5.large@us-west-2a,compute,c5.large,0.00046532738095238094,0.31537403542140235
c5.large@us-west-2b,compute,c5.large,0.00040586309523809515,0.2981839141181347
c5.large@us-west-2c,compute,c5.large,0.0004186904761904762,0.26495950145123776
c5.xlarge@ap-southeast-2a,compute,c5.xlarge,0.0009811309523809525,0.2721445379239019
c5.xlarge@ap-southeast-2b,compute,c5.xlarge,0.0014126785714285715,0.30814458346923046
c5.xlarge@ap-southeast-2c,compute,c5.xlarge,0.001624226190476191,0.4302693581527638
c5.xlarge@eu-west-1a,compute,c5.xlarge,0.001552857142857143,0.4633926661941006
c5.xlarge@eu-west-1b,compute,c5.xlarge,0.000997113095238095,0.2642556996296439
c5.xlarge@us-east-1a,compute,c5.xlarge,0.0008483035714285715,0.26137436533979497
c5.xlarge@us-east-1b,compute,c5.xlarge,0.0012641666666666667,0.3108262610284928
c5.xlarge@us-east-1c,compute,c5.xlarge,0.0009531845238095238,0.28275737127375106
c5.xlarge@us-west-2a,compute,c5.xlarge,0.0013707440476190473,0.3160556865182146
c5.xlarge@us-west-2b,compute,c5.xlarge,0.001332916666666667,0.4344861681552471
c5.xlarge@us-west-2c,compute,c5.xlarge,0.0008687500000000002,0.30022693412382695
g4dn.xlarge@ap-southeast-2a,gpu,g4dn.xlarge,0.007317767857142857,0.5183507570385786
g4dn.xlarge@ap-southeast-2b,gpu,g4dn.xlarge,0.0058310416666666675,0.2907951274612668
g4dn.xlarge@ap-southeast-2c,gpu,g4dn.xlarge,0.005496160714285716,0.29200036852322536
g4dn.xlarge@eu-west-1a,gpu,g4dn.xlarge,0.00696857142857143,0.38810389341968005
g4dn.xlarge@eu-west-1b,gpu,g4dn.xlarge,0.004171160714285714,0.27472331453009574
g4dn.xlarge@us-east-1a,gpu,g4dn.xlarge,0.004273541666666666,0.2650281225505818
g4dn.xlarge@us-east-1b,gpu,g4dn.xlarge,0.0044821130952380946,0.2889279170837113
g4dn.xlarge@us-east-1c,gpu,g4dn.xlarge,0.004742410714285715,0.3188881528463367
g4dn.xlarge@us-west-2a,gpu,g4dn.xlarge,0.005578095238095238,0.34694082053646397
g4dn.xlarge@us-west-2b,gpu,g4dn.xlarge,0.003563601190476189,0.23642099170882747
g4dn.xlarge@us-west-2c,gpu,g4dn.xlarge,0.003710119047619049,0.3072023853060167
m5.2xlarge@ap-southeast-2a,general,m5.2xlarge,0.0032584821428571433,0.3791475069938925
m5.2xlarge@ap-southeast-2b,general,m5.2xlarge,0.0026781845238095245,0.3181791395193152
m5.2xlarge@ap-southeast-2c,general,m5.2xlarge,0.0027386904761904757,0.2678169790415509
m5.2xlarge@eu-west-1a,general,m5.2xlarge,0.0020612202380952387,0.31432433407192223
m5.2xlarge@eu-west-1b,general,m5.2xlarge,0.002849970238095238,0.2822038329826247
m5.2xlarge@us-east-1a,general,m5.2xlarge,0.0026321726190476195,0.30047708862057715
m5.2xlarge@us-east-1b,general,m5.2xlarge,0.0021184523809523815,0.3509379249086846
m5.2xlarge@us-east-1c,general,m5.2xlarge,0.002341458333333333,0.2801915843302127
m5.2xlarge@us-west-2a,general,m5.2xlarge,0.0021090476190476185,0.26935053619751315
m5.2xlarge@us-west-2b,general,m5.2xlarge,0.0030963690476190483,0.37291897604794266
m5.2xlarge@us-west-2c,general,m5.2xlarge,0.0019499107142857144,0.25426082311215636
m5.large@ap-southeast-2a,general,m5.large,0.0005450000000000001,0.24301667674075253
m5.large@ap-southeast-2b,general,m5.large,0.0006695535714285715,0.2979538305107972
m5.large@ap-southeast-2c,general,m5.large,0.0006848809523809522,0.3096611256959705
m5.large@eu-west-1a,general,m5.large,0.0005745238095238093,0.2783950232707319
m5.large@eu-west-1b,general,m5.large,0.0004789880952380953,0.25440876124716255
m5.large@us-east-1a,general,m5.large,0.0006003869047619047,0.3139150270058526
m5.large@us-east-1b,general,m5.large,0.0005599702380952381,0.3359194378954024
m5.large@us-east-1c,general,m5.large,0.0005974107142857145,0.29781439574226165
m5.large@us-west-2a,general,m5.large,0.0005505654761904765,0.25457124582067764
m5.large@us-west-2b,general,m5.large,0.0006293154761904763,0.3160527598602882
m5.large@us-west-2c,general,m5.large,0.0006786011904761904,0.5061355140601831
m5.xlarge@ap-southeast-2a,general,m5.xlarge,0.0013614285714285714,0.28900906316517655
m5.xlarge@ap-southeast-2b,general,m5.xlarge,0.0010129464285714286,0.33190561313649947
m5.xlarge@ap-southeast-2c,general,m5.xlarge,0.0011910119047619048,0.2693459560280511
m5.xlarge@eu-west-1a,general,m5.xlarge,0.0014755357142857144,0.40765034391574995
m5.xlarge@eu-west-1b,general,m5.xlarge,0.002446428571428572,0.611518812362024
m5.xlarge@us-east-1a,general,m5.xlarge,0.001161011904761905,0.3440709255922442
m5.xlarge@us-east-1b,general,m5.xlarge,0.0012787499999999997,0.31745648635974943
m5.xlarge@us-east-1c,general,m5.xlarge,0.0013694642857142857,0.29619858527099846
m5.xlarge@us-west-2a,general,m5.xlarge,0.0015189583333333329,0.3952944187095542
m5.xlarge@us-west-2b,general,m5.xlarge,0.0010769642857142853,0.25233267915299445
m5.xlarge@us-west-2c,general,m5.xlarge,0.0014738392857142856,0.42485386077291626
p3.2xlarge@ap-southeast-2a,gpu,p3.2xlarge,0.029819166666666667,0.2528730032858014
p3.2xlarge@ap-southeast-2b,gpu,p3.2xlarge,0.04592904761904762,0.2986660711367209
p3.2xlarge@ap-southeast-2c,gpu,p3.2xlarge,0.04536238095238095,0.3835660825192465
p3.2xlarge@eu-west-1a,gpu,p3.2xlarge,0.0366179761904762,0.2647919422521807
p3.2xlarge@eu-west-1b,gpu,p3.2xlarge,0.037689315476190484,0.29347464884945684
p3.2xlarge@us-east-1a,gpu,p3.2xlarge,0.035745535714285716,0.33644838010182604
p3.2xlarge@us-east-1b,gpu,p3.2xlarge,0.03456988095238095,0.29785811350366903
p3.2xlarge@us-east-1c,gpu,p3.2xlarge,0.04188479166666667,0.3216958297101677
p3.2xlarge@us-west-2a,gpu,p3.2xlarge,0.03532011904761905,0.2822111485266742
p3.2xlarge@us-west-2b,gpu,p3.2xlarge,0.0413102380952381,0.41275364997966485
p3.2xlarge@us-west-2c,gpu,p3.2xlarge,0.04187107142857143,0.32511651509788025
r5.large@ap-southeast-2a,memory,r5.large,0.0008056547619047618,0.27081692069189334
r5.large@ap-southeast-2b,memory,r5.large,0.0007414285714285715,0.32655178512878563
r5.large@ap-southeast-2c,memory,r5.large,0.0008822321428571429,0.3068473446105918
r5.large@eu-west-1a,memory,r5.large,0.0006042857142857144,0.2870784172002729
r5.large@eu-west-1b,memory,r5.large,0.0012598809523809529,0.4674593849660328
r5.large@us-east-1a,memory,r5.large,0.0006719047619047619,0.23955769262874813
r5.large@us-east-1b,memory,r5.large,0.0007182738095238095,0.28757025417330756
r5.large@us-east-1c,memory,r5.large,0.0006997619047619049,0.25224321086124885
r5.large@us-west-2a,memory,r5.large,0.0009713392857142856,0.415075651438705
r5.large@us-west-2b,memory,r5.large,0.0007572023809523809,0.29245336517166487
r5.large@us-west-2c,memory,r5.large,0.0012597916666666664,0.45975747229442304
r5.xlarge@ap-southeast-2a,memory,r5.xlarge,0.002472440476190476,0.3342285002758349
r5.xlarge@ap-southeast-2b,memory,r5.xlarge,0.0016768452380952386,0.27031817920701046
r5.xlarge@ap-southeast-2c,memory,r5.xlarge,0.0016377976190476184,0.23514213358477445
r5.xlarge@eu-west-1a,memory,r5.xlarge,0.001803482142857143,0.28831931146066686
r5.xlarge@eu-west-1b,memory,r5.xlarge,0.001961904761904762,0.3226914345396536
r5.xlarge@us-east-1a,memory,r5.xlarge,0.0017883333333333336,0.3098839403297728
r5.xlarge@us-east-1b,memory,r5.xlarge,0.002043690476190476,0.39447391835053963
r5.xlarge@us-east-1c,memory,r5.xlarge,0.0019128273809523803,0.5106713583111773
r5.xlarge@us-west-2a,memory,r5.xlarge,0.0016380357142857138,0.2830223220027957
r5.xlarge@us-west-2b,memory,r5.xlarge,0.001654940476190476,0.258334412191573
