sid,family,instance_type,naive_mae,naive_mase,snaive_mae,snaive_mase
c5.large@ap-southeast-2a,compute,c5.large,0.0005314285714285715,0.2999690892067574,0.001319375,0.7447317256734298
c5.large@ap-southeast-2b,compute,c5.large,0.0008905059523809526,0.4202944884827427,0.0024711011904761902,1.1662922724585953
c5.large@ap-southeast-2c,compute,c5.large,0.0007425297619047617,0.37942677241227146,0.0017401785714285713,0.8892173386887458
c5.large@eu-west-1a,compute,c5.large,0.0005093154761904762,0.30697887676310004,0.001781517857142857,1.0737713191236138
c5.large@eu-west-1b,compute,c5.large,0.0006061309523809524,0.35523117410827665,0.0022427083333333335,1.314369298091387
c5.large@us-east-1a,compute,c5.large,0.00042601190476190473,0.24170354903798136,0.001352053571428571,0.7671056678249584
c5.large@us-east-1b,compute,c5.large,0.00043922619047619046,0.31871994858324615,0.0015667559523809523,1.1369002746488568
c5.large@us-east-1c,compute,c5.large,0.0005857142857142857,0.4276639465385296,0.0014538095238095237,1.0615105925057975
c5.large@us-west-2a,compute,c5.large,0.00046532738095238094,0.31537403542140235,0.001420595238095238,0.9628035470888632
c5.large@us-west-2b,compute,c5.large,0.00040586309523809515,0.2981839141181347,0.001264642857142857,0.9291215720985394
c5.large@us-west-2c,compute,c5.large,0.0004186904761904762,0.26495950145123776,0.0014821726190476193,0.9379619087129011
c5.xlarge@ap-southeast-2a,compute,c5.xlarge,0.0009811309523809525,0.2721445379239019,0.0025434523809523806,0.7054987626941895
c5.xlarge@ap-southeast-2b,compute,c5.xlarge,0.0014126785714285715,0.30814458346923046,0.004072410714285714,0.8883063200995494
c5.xlarge@ap-southeast-2c,compute,c5.xlarge,0.001624226190476191,0.4302693581527638,0.0051011011904761915,1.3513188914008365
c5.xlarge@eu-west-1a,compute,c5.xlarge,0.001552857142857143,0.4633926661941006,0.004559017857142857,1.360469924593892
c5.xlarge@eu-west-1b,compute,c5.xlarge,0.000997113095238095,0.2642556996296439,0.00336764880952381,0.8924969459509031
c5.xlarge@us-east-1a,compute,c5.xlarge,0.0008483035714285715,0.26137436533979497,0.002812886904761905,0.8666903621148666
c5.xlarge@us-east-1b,compute,c5.xlarge,0.0012641666666666667,0.3108262610284928,0.0036538690476190477,0.8983929764212275
c5.xlarge@us-east-1c,compute,c5.xlarge,0.0009531845238095238,0.28275737127375106,0.0029522321428571427,0.8757647436069483
c5.xlarge@us-west-2a,compute,c5.xlarge,0.0013707440476190473,0.3160556865182146,0.004158363095238095,0.9588035819964711
c5.xlarge@us-west-2b,compute,c5.xlarge,0.001332916666666667,0.4344861681552471,0.00413125,1.346649064476172
c5.xlarge@us-west-2c,compute,c5.xlarge,0.0008687500000000002,0.30022693412382695,0.0028938988095238097,1.000087904745814
g4dn.xlarge@ap-southeast-2a,gpu,g4dn.xlarge,0.007317767857142857,0.5183507570385786,0.020080803571428572,1.4224145854849561
g4dn.xlarge@ap-southeast-2b,gpu,g4dn.xlarge,0.0058310416666666675,0.2907951274612668,0.01669041666666667,0.832354169189036
g4dn.xlarge@ap-southeast-2c,gpu,g4dn.xlarge,0.005496160714285716,0.29200036852322536,0.014285535714285716,0.7589628305956919
g4dn.xlarge@eu-west-1a,gpu,g4dn.xlarge,0.00696857142857143,0.38810389341968005,0.025095952380952382,1.3976805616411963
g4dn.xlarge@eu-west-1b,gpu,g4dn.xlarge,0.004171160714285714,0.27472331453009574,0.014249910714285713,0.9385355711130584
g4dn.xlarge@us-east-1a,gpu,g4dn.xlarge,0.004273541666666666,0.2650281225505818,0.011460624999999999,0.7107425559221009
